"customer_number","status_1","customer_attention","customer_name","address_1","address_2","address_3","city","province","postal","country","phone","credit_limit","credit_available"
"25751","9","DEFAULT","COMPOSITE TECHN**ACCT CLOSED**","69 DURAND RD","","","WINNIPEG","MB","R2J 3T1","CAN","204-661-6412","0","0"
"25763","9","DEFAULT","PRAIRIE PULSE***CLOSED***","PO BOX 399","","","VANSCOY","SK","S0L 3J0","CAN","306-249-9236","0","0"
"25893","9","DEFAULT","GILLIS WELDING***ACCT CLOSED**","RR 1 299 ELLERSLIE RD","","","ELLERSLIE","PE","C0B 1J0","CAN","902-831-2114","0","0"
"25963","9","DEFAULT","CAMROSE COUNTY**ACCT CLOSED**","3755 43 AVENUE","","","CAMROSE","AB","T4V 0L3","CAN","000-000-0000","0","0"
"26038","A","DEFAULT","B&Z FARM EQUIPMENT REPAIR A","1824 HIGHWAY 59 SOUTH","RR 1","","PORT ROWAN","ON","N0E 1M0","CAN","519-586-7130","2000","608"
"26097","5","DEFAULT","IRON DOG INC","25 GUILDFORD AVENUE","","","DARTMOUTH","NS","B3B 0H5","CAN","902-443-8870","5000","4104"
"26098","9","DEFAULT","INGERSOLL MAC***ACCT CLOSED***","347 KING STREET WEST","","","INGERSOLL","ON","N5C 3K6","CAN","519-485-2210","0","0"
"26190","A","DEFAULT","CJ PINK LTD","875 DONNYBROOK DR","","","DORCHESTER","ON","N0L 1G5","CAN","519-455-6680","1000","1000"
"26272","5","DEFAULT","COVANTA ENVIRONMENTAL SOLUTION","ONTARIO INC","260 SHOEMAKER ST","","KITCHENER","ON","N2E 3E1","CAN","519-748-5348","3000","3000"
"26306","9","DEFAULT","FERME REFER***ACCT CLOSED***","750 ROUTE 108","","","COOKSHIRE","QC","J0B 1M0","CAN","819-875-3284","0","0"
"26309","A","DEFAULT","BHILLS FARMING CO LTD","PO BOX 235","","","WANHAM","AB","T0H 3P0","CAN","780-694-2535","2000","1275"
"26333","9","DEFAULT","NEW BRUNSWICK POWER CORP","PO BOX 2000","","","FREDERICTON","NB","E3B 4X1","CAN","506-458-4444","0","0"
"26338","9","DEFAULT","SYSTEMATIX ***ACCT CLOSED***","50 FROBISHER DR","","","WATERLOO","ON","N2V 2B9","CAN","519-747-9555","0","0"
"26342","9","DEFAULT","PARTS FOR TRUCKS INC","15 MACDONALD AVE","","","DARTMOUTH","NS","B3B 1C6","CAN","902-468-6777","0","0"
"26348","9","DEFAULT","RWM TOWING","B-5250 RICHMOND AVE E","","","BRANDON","MB","R7A 7L5","CAN","204-725-7555","0","0"
"26353","A","DEFAULT","DAY NITE NEON SIGNS LTD EX","57 WRIGHT AVE","","","DARTMOUTH","NS","B3B 1H2","CAN","902-469-7095","1500","985"
"26383","A","DEFAULT","NETT TECHNOLOGIES INC","6154 KESTREL RD","","","MISSISSAUGA","ON","L5T 1Z2","CAN","905-672-5453","5000","720"
"26392","9","DEFAULT","RED WILLOW***ACCT CLOSED***","PO BOX 940","","","STETTLER","AB","T0C 2L0","CAN","403-742-3988","0","0"
"26414","9","DEFAULT","JASBRO TRUCK***ACCT CLOSED***","17 72 DEVON RD","","","BRAMPTON","ON","L6T 5B4","CAN","905-450-5665","0","0"
"26561","A","DEFAULT","HYLANDS GOLF CLUB","2101 ALERT ROAD","","","GLOUCESTER","ON","K1V 1J9","CAN","613-521-1842","3000","1491"
"26647","5","DEFAULT","ATLANTIC HARDCHROME LTD EX","5 NOTTING COURT","","","DARTMOUTH","NS","B3B 1N2","CAN","902-469-3606","3000","3000"
"26649","A","DEFAULT","ROCKY MOUNTAIN PHOENIX","6415 GOLDEN WEST AVE","","","RED DEER","AB","T4P 3X2","CAN","403-347-7045","2500","2431"
"26716","5","DEFAULT","OXFORD FROZEN FOODS LTD EX","PO BOX 220","","","OXFORD","NS","B0M 1P0","CAN","902-447-2320","5000","4484"
"26724","3","DEFAULT","BD STEVENS LTD","20 MACDONALD AVE","","","DARTMOUTH","NS","B3B 1C5","CAN","902-468-8040","3000","2966"
"26725","3","DEFAULT","JOHNSTON EQUIP DARTMOUTH","15 GARLAND AVENUE","","","DARTMOUTH","NS","B3B 0A6","CAN","902-468-1457","1500","1450"
"26726","3","DEFAULT","COMMAND INDUSTRIES EX","630 ADAMS COURT","","","KELOWNA","BC","V1V 1K5","CAN","250-765-0239","5000","5000"
"26732","9","DEFAULT","RPM HYDRAULICS***ACCT CLOSED**","PO BOX 370","300 BRUNELLE RD N","","KAPUSKASING","ON","P5N 2Y5","CAN","705-337-8000","0","0"
"26738","9","DEFAULT","ADVANCED WELDING**ACCT CLOSED*","11170 PINE VALLEY DR","","","VAUGHAN","ON","L4L 1A6","CAN","905-303-1059","0","0"
"26838","9","DEFAULT","INLINE NURSERIES INC","49944 YALE RD E","","","CHILLIWACK","BC","V2P 6H4","CAN","604-794-7096","0","0"
"26871","5","DEFAULT","COCHRANE'S ELECTRIC CONTRACTIN","6536 HWY 14 RR 1 WINDSOR","","","WINDSOR","NS","B0N 2T0","CAN","902-481-3714","2500","1380"
"26877","A","DEFAULT","WELLDONE MECH SERVICES INC","470 HENDERSON DRIVE","","","REGINA","SK","S4N 5W9","CAN","306-721-2744","3500","3334"
"26984","9","DEFAULT","NAUTEL LIMITED***ACCT CLOSED**","10089 PEGGY'S COVE ROAD","","","HACKETT'S COVE","NS","B3Z 3J4","CAN","902-823-2233","0","0"
"27087","9","DEFAULT","REAL INDUSTRIES 2003 LTD","PO BOX 10","112 KING ST","","RATHWELL","MB","R0G 1S0","CAN","204-749-3000","0","0"
"27102","A","DEFAULT","ELRANCHO INC","PO BOX 1321","6917 RTE 17","","ST-QUENTIN","NB","E8A 1A2","CAN","506-235-2009","3000","3000"
"27210","5","DEFAULT","ORMOND CONSTRUCTION LTD","1283 RODNEY LANE","RR1","","WINCHESTER","ON","K0C 2K0","CAN","613-774-2005","2500","2109"
"27266","9","DEFAULT","E J & S DRINK***ACCT CLOSED***","PO BOX 357","","","GLENBORO","MB","R0K 0X0","CAN","204-827-2690","0","0"
"27272","3","DEFAULT","WHISSELL EQUIPMENT LIMITED","PARTNERSHIP","3391 32 AVE N","","LETHBRIDGE","AB","T1H 7A4","CAN","403-328-1346","1000","1000"
"27357","9","DEFAULT","DEERFOOT MECH***ACCT CLOSED***","4607 8A ST NE","","","CALGARY","AB","T2E 8R2","CAN","403-291-5633","0","0"
"27396","9","DEFAULT","ADVANCE RENTAL***ACCT CLOSED**","60 HARVARD ST","","","SUMMERSIDE","PE","C1N 1P4","CAN","902-436-3867","0","0"
"27402","A","DEFAULT","EASTERN FENCE ERECTORS LIMITED","145 CUTLER AVENUE","","","DARTMOUTH","NS","B3B 0J5","CAN","902-468-2455","2500","1131"
"27448","9","DEFAULT","WAJAX POWER SYS***CLOSED***","2200 52ND AVE","","","LACHINE","QC","H8T 2Y3","CAN","905-561-9721","0","0"
"27519","A","DEFAULT","CTS CONTAINER & TRAILER SERV","33 MACDONALD AVE","","","DARTMOUTH","NS","B3B 1C6","CAN","902-468-1960","3500","3500"
"27681","A","DEFAULT","MARSPRUCE","RR 1","","","ATWOOD","ON","N0G 1B0","CAN","519-356-2368","2500","2500"
"27783","9","DEFAULT","CEGEP DE MATANE","616 ST-REDEMPTEUR","A/S SERVICE DES ACHATS","","MATANE","QC","G4W 1L1","CAN","418-562-1240","0","0"
"27792","9","DEFAULT","WESTERN STAR GRAND FALLS","19 DUGGAN STREET","","","GRAND FALLS","NL","A2A 2K7","CAN","709-489-5558","0","0"
"27920","9","DEFAULT","CRESTON VALLEY SECONDARY","223 18TH AVENUE SOUTH","","","CRESTON","BC","V0B 1G5","CAN","250-428-2274","0","0"
"27930","5","DEFAULT","DURA TECH IND & MARINE","PO BOX 21025","4 FOREST HILLS PKWY","","DARTMOUTH","NS","B2W 6B2","CAN","902-462-8265","500","500"
"27969","A","DEFAULT","RIVERSIDE RENTALS","13480 SYLVESTRE DR","","","TECUMSEH","ON","N8N 2L9","CAN","519-979-2300","500","500"
"27988","9","DEFAULT","CADMAN POWER***ACCT CLOSED***","PO BOX 100","HIGHWAYS 3 & 59","","COURTLAND","ON","N0J 1E0","CAN","519-688-2222","0","0"
"28072","5","DEFAULT","CORRELIEU SECONDARY SCHOOL","850 ANDERSON DRIVE","","","QUESNEL","BC","V2J 1G4","CAN","250-992-7007","2000","2000"
"28142","9","DEFAULT","SHEFFIELD WELDING & FABRICATIN","20504 107 AVE NW","","","EDMONTON","AB","T5S 1X1","CAN","780-447-3584","0","0"
"28202","3","DEFAULT","CHERUBINI METAL WORKS LTD","570 WILKINSON AVE","","","DARTMOUTH","NS","B3B 0J4","CAN","902-468-5630","8000","6824"
"28312","9","DEFAULT","BUKSAK FARM'S ***ACCT CLOSED**","4144 HENDERSON HWY","","","WINNIPEG","MB","R2E 1B4","CAN","204-661-1203","0","0"
"28313","A","DEFAULT","WILLOW CREEK FARMING CO LTD","PO BOX 1238","","","CLARESHOLM","AB","T0L 0T0","CAN","403-625-3592","1000","884"
"28325","9","DEFAULT","TRAILTECH INC***ACCT CLOSED***","BOX 988","","","GRAVELBOURG","SK","S0H 1X0","CAN","306-648-3158","0","0"
"28335","5","DEFAULT","LAC STE ANNE COUNTY","PO BOX 219","","","SANGUDO","AB","T0E 2A0","CAN","780-785-3411","5000","5000"
"28336","9","DEFAULT","ACCURATE SCAL***ACCT CLOSED***","16815 129 AVENUE","","","EDMONTON","AB","T5V 1L2","CAN","604-941-3474","0","0"
"28351","9","DEFAULT","OKNO MANUF***ACCT CLOSED***","PO BOX 992","","","ARBORG","MB","R0C 0A0","CAN","204-364-2397","0","0"
"28384","3","DEFAULT","YORK REGION DIST SCH BRD","PO BOX 40","ATTN; ACCTS PAYABLE","","AURORA","ON","L4G 3H2","CAN","905-727-3141","8000","7986"
"28433","9","DEFAULT","FOUNTAIN TIRE F301","165 INKSBROOK DR","","","WINNIPEG","MB","R2R 2V7","CAN","204-632-5558","0","0"
"28459","9","DEFAULT","MARINER FORGE ENTERPRISES LTD","61 MOUNT HOPE AVE","","","DARTMOUTH","NS","B2Y 4V9","CAN","902-465-4877","0","0"
"28555","9","DEFAULT","ENVIROSYSTEMS","11 BROWN AVE","","","DARTMOUTH","NS","B3B 1Z7","CAN","902-468-9011","0","0"
"28570","9","DEFAULT","GEHRINGER BROS***CLOSED***","876 ROAD #8","","","OLIVER","BC","V0H 1T0","CAN","250-498-3537","0","0"
"28600","3","DEFAULT","WARNER TRUCK INDUSTRIES LTD","330 4TH AVE EAST","","","REGINA","SK","S4N 4Z6","CAN","306-359-1930","3000","3000"
"28605","9","DEFAULT","HEFLER FOREST***ACCT CLOSED***","230 LUCASVILLE ROAD","","","LOWER SACKVILLE","NS","B4B 1S1","CAN","902-865-1158","0","0"
"28714","5","DEFAULT","FOUR SEASONS SHEET METAL","3620 9TH AVE NORTH","","","LETHBRIDGE","AB","T1H 5E7","CAN","403-320-9884","1500","1500"
"28757","A","DEFAULT","WELDPRO LTD EX","1 WESTON COURT","","","DARTMOUTH","NS","B3B 1X4","CAN","902-468-7191","1000","823"
"28758","9","DEFAULT","WB EQUIPMENT RENTALS LTD","1507 NORTHUMBERLAND RD","","","WEST ST PAUL","MB","R4A 4A1","CAN","204-633-2462","0","0"
"28759","9","DEFAULT","MASTERNET LTD","690 GANA CRT","","","MISSISSAUGA","ON","L5S 1P2","CAN","905-795-0005","0","0"
"28761","9","DEFAULT","CONCEPTS PLUS***ACCT CLOSED***","RR 4","(YARD #5280)","","KINCARDINE","ON","N2Z 2X5","CAN","519-395-3916","0","0"
"28762","5","DEFAULT","CONRADS TRANSPORT","PO BOX 2129 EAST","","","DARTMOUTH","NS","B2W 3Y2","CAN","902-434-5040","1500","1356"
"28792","5","DEFAULT","FLEXCIM MANUFACTURING SERVICES","INC","8522 DAVIES RD","","EDMONTON","AB","T6E 4Y5","CAN","780-465-0109","10000","10000"
"28901","5","DEFAULT","SMS EQUIPMENT INC - ACHESON","11285 274 ST","","","ACHESON","AB","T7X 6P9","CAN","780-451-2646","2000","1878"
"28957","9","DEFAULT","GARAGE CLARK***ACCT CLOSED***","177 CHEMIN INC","","","CAP-AUX-MEULES","QC","G4T 1C4","CAN","418-986-2486","0","0"
"29110","9","DEFAULT","FCFP","UNIT A 160 ADELAIDE ST S","","","LONDON","ON","N5Z 3L1","CAN","519-668-0010","0","0"
"29112","9","DEFAULT","NELSON GRANIT***ACCT CLOSED***","PO BOX 178","HWY 17","","VERMILION BAY","ON","P0V 2V0","CAN","807-227-2650","0","0"
"29115","9","DEFAULT","MYSTERY LAKE***ACCT CLOSED***","PO BOX 189","","","THOMPSON","MB","R8N 1N1","CAN","204-778-7557","0","0"
"29216","5","DEFAULT","BARRY GROUP INC","PO BOX 129","","","DOVER","NL","A0G 1X0","CAN","709-537-5447","2500","2500"
"29263","A","DEFAULT","SOLID MACHINE","220 HEMPSTEAD DRIVE","","","HAMILTON","ON","L8W 2E8","CAN","905-385-4562","5000","5000"
"29266","9","DEFAULT","MACPHEE FORD SALES","580 PORTLAND ST","","","DARTMOUTH","NS","B2W 2M3","CAN","902-434-7700","0","0"
"29331","9","DEFAULT","SMELKO FOUNDRY PROD","701 NIPISSING RD.","","","MILTON","ON","L9T 4Z5","CAN","905-878-2331","0","0"
"29408","9","DEFAULT","MURRAY MANUFACTURING","23B STRATHEARN AVE","","","BRAMPTON","ON","L6T 4P1","CAN","905-799-2348","0","0"
"29409","A","DEFAULT","UNITED FLOOR CO LTD","7896 HUNTINGTON RD","","","VAUGHAN","ON","L4H 4M8","CAN","905-856-6299","6500","2305"
"29419","9","DEFAULT","ENERVAC INTL***ACCT CLOSED****","280 HOLIDAY INN DR","","","CAMBRIDGE","ON","N3C 1Z4","CAN","519-651-1034","0","0"
"29481","3","DEFAULT","HUSKY FARM EQUIP","RR 2","7440 WELLINGTON RD 17","","ALMA","ON","N0B 1A0","CAN","519-846-5329","2000","2000"
"29566","9","DEFAULT","MENZIES***ACCT CLOSED***","3839 43 AVE EDMONTON INT'L AIRPORT","","","EDMONTON","AB","T9E 0V4","CAN","780-890-4400","0","0"
"29686","A","DEFAULT","ABESCO LIMITED","566 DOBBIE AVENUE","","","WINNIPEG","MB","R2K 1G4","CAN","204-667-3981","1500","1634"
"29688","9","DEFAULT","HARVEX AGROMA***ACCT CLOSED***","1572 COUNTY RD 12","","","CRYSLER","ON","K0A 1R0","CAN","613-987-5243","0","0"
"29698","9","DEFAULT","CUMMINS CANADA ***CLOSED***","7175 PACIFIC CIRCLE","","","MISSISSAUGA","ON","L5T 2A5","CAN","905-795-0050","0","0"
"29706","5","DEFAULT","KOST FIRE SAFETY","677 14 ST SW","","","MEDICINE HAT","AB","T1A 4V5","CAN","403-527-1500","1000","1000"
"29969","9","DEFAULT","CRUSHRITE CONC**ACCT CLOSED**","PO BOX 790","","","ESTERHAZY","SK","S0A 0X0","CAN","306-745-6671","0","0"
"30053","3","DEFAULT","WOLFVILLE TOWN OF","359 MAIN ST","","","WOLFVILLE","NS","B4P 1A1","CAN","902-542-5767","2500","2043"
"30060","9","DEFAULT","MORGUARD INV ***ACCT CLOSED***","1100-10060 JASPER AVE NW","","","EDMONTON","AB","T5J 3R8","CAN","780-421-8000","0","0"
"30085","9","DEFAULT","ARCACRES HOLS***ACCT CLOSED***","15643 SAVING ST","RR 2","","NEWINGTON","ON","K0C 1Y0","CAN","613-346-2156","0","0"
"30155","9","DEFAULT","B & L MACHINE7**CLOSED***","448 DAWSON AVE","","","PENTICTON","BC","V2A 3N7","CAN","250-492-2412","0","0"
"30273","9","DEFAULT","METROPOLITAN REGIONAL HOUSING","3770 KEMPT RD","SUITE 3","","HALIFAX","NS","B3K 4X8","CAN","902-420-6000","0","0"
"30277","9","DEFAULT","TANDUS CENTIVA**ACCT CLOSED***","435 WILLOW STREET","","","TRURO","NS","B2N 6T2","CAN","902-895-5491","0","0"
"30374","5","DEFAULT","GREAT WESTERN BREWING CO LTD","519 2ND AVENUE NORTH","","","SASKATOON","SK","S7K 2C6","CAN","306-653-4653","1000","921"
"30433","A","DEFAULT","ED BOBOCEL LMBR CO LTD","PO BOX 1150","","","LAC LA BICHE","AB","T0A 2C0","CAN","780-623-7740","5000","4836"
"30515","5","DEFAULT","CANADIAN MAT SYSTEMS INC","506-17 AVENUE","","","NISKU","AB","T9E 7T1","CAN","780-485-0808","2000","2000"
"30528","A","DEFAULT","J R EISENER CONTRACTING LTD","35 PERRIN DR","","","FALL RIVER","NS","B2T 1J6","CAN","902-860-0477","1500","1500"
"30532","9","DEFAULT","W***ACCT CLOSED***","**********************","******************","","*******","BC","V4V 1S5","CAN","250-000-0000","0","0"
"30632","9","DEFAULT","SYL MOTEUR***ACCT CLOSED***","569 2 RUE EST","","","LA SARRE","QC","J9Z 2J6","CAN","819-333-6608","0","0"
"30829","A","DEFAULT","DEGROOT'S NURSERIES LTD","1840 LONDON LINE ROAD","","","SARNIA","ON","N7T 7H2","CAN","519-542-3435","7000","5393"
"30938","9","DEFAULT","CIMCO***ACCT CLOSED***","65 VILLIERS ST","","","TORONTO","ON","M5A 3S1","CAN","204-783-1178","0","0"
"30977","3","DEFAULT","VALE INDUSTRIES LTD","PO BOX 1420","","","INDIAN HEAD","SK","S0G 2K0","CAN","306-695-2460","3000","1990"
"30980","9","DEFAULT","STEWART STEEL INC","PO BOX 1087","","","WEYBURN","SK","S4H 2L3","CAN","306-842-4411","0","0"
"31013","9","DEFAULT","CITY COLLISION","2672 ROBIE ST","","","HALIFAX","NS","B3K 4N8","CAN","902-468-3368","0","0"
"31016","9","DEFAULT","SCOTIA GARDEN SEAFOOD**CLOSED*","PO BOX 868","","","YARMOUTH","NS","B5A 4K5","CAN","902-742-2411","0","0"
"31101","5","DEFAULT","ALPINE GLASS INC","2288 18 AVE NE","","","CALGARY","AB","T2E 8R1","CAN","403-291-2205","1500","1500"
"31333","9","DEFAULT","CATHERWOOD WE***ACCT CLOSED***","15 KENYON ST","","","BRANTFORD","ON","N3T 5M6","CAN","519-756-9202","0","0"
"31334","3","DEFAULT","TOROMONT CAT","548 EDGELEY BLVD","","","CONCORD","ON","L4K 4G4","CAN","416-667-5511","1500","1338"
"31335","A","DEFAULT","L & B ELECTRIC LTD","94 WENTZELL DR","","","BRIDGEWATER","NS","B4V 3V4","CAN","902-543-9966","1500","1500"
"31338","A","DEFAULT","TREMONTE MFG LTD","8 RANGEMORE ROAD","","","TORONTO","ON","M8Z 5H7","CAN","416-746-6018","1000","1000"
"31358","9","DEFAULT","THOMPSON TECHNICIANS EX","25 SEVERN CRESCENT","ATT:KRIS WILSON","","THOMPSON","MB","R8N 1M7","CAN","204-778-6171","0","0"
"31361","A","DEFAULT","CAMPUS DE BROME-MISSISQUOI","ATTN:MARK PASHER","180 ADELARD-GODBOUT PORTE 36","","COWANSVILLE","QC","J2K 3X9","CAN","450-263-7901","3500","3500"
"31363","5","DEFAULT","CENTURY PETROLEUM CONST EX","1900 LOGAN AVENUE","","","WINNIPEG","MB","R2R 0H5","CAN","204-694-2230","2500","2500"
"31414","A","DEFAULT","APEX LANDS & ORCHARDS LTD","PO BOX 28204 E KELOWNA","","","KELOWNA","BC","V1W 4A6","CAN","250-763-7797","2000","1769"
"31548","9","DEFAULT","WASTELINE CONT***ACCT CLOSED**","2141 QUEEN ST","","","ABBOTSFORD","BC","V2T 6J3","CAN","604-852-5656","0","0"
"31624","9","DEFAULT","ATLANTEX LIMITED","15 COLFORD DR","","","EAST CHEZZETCOOK","NS","B0J 1N0","CAN","902-827-5300","0","0"
"31654","9","DEFAULT","WEAVEXX CORPORATION","650 PARK STREET","PO BOX 160","","KENTVILLE","NS","B4N 3W6","CAN","902-678-7311","0","0"
"31658","9","DEFAULT","WINKLER CITY OF","185 MAIN ST","","","WINKLER","MB","R6W 1B4","CAN","204-325-9524","0","0"
"31872","9","DEFAULT","U RENTALS & SERVICES","250 WOODWARD AVE","","","BLIND RIVER","ON","P0R 1B0","CAN","705-356-2767","0","0"
"31888","A","DEFAULT","DUNLOP LIFT TRUCK (1994)","381 TIFFIN ST","","","BARRIE","ON","L4N 9W6","CAN","705-728-5178","1000","954"
"31895","9","DEFAULT","SPRINGHILL INSTIT***CLOSED***","CORRECTIONAL SERVICES CANADA","330 MCGEE STREET","","SPRINGHILL","NS","B0M 1X0","CAN","902-597-8651","0","0"
"32026","3","DEFAULT","WAJAX LIMITED MISSISSAUGA","2117 32 AVE","","","LACHINE","QC","H8T 3J1","CAN","905-624-5611","500","500"
"32093","9","DEFAULT","HEAD VAC SYSTEMS INC","2309 CKL RD 121","","","BURNT RIVER","ON","K0M 1C0","CAN","705-793-2222","0","0"
"32100","9","DEFAULT","ASSINCK ****ACCT CLOSED****","830 PASSMORE AVE","","","SCARBOROUGH","ON","M1X 1C8","CAN","416-293-0553","0","0"
"32108","9","DEFAULT","WILREP LTD","1515 MATHESON BLVD E UNIT 10","","","MISSISSAUGA","ON","L4W 2P5","CAN","905-625-8944","0","0"
"32231","9","DEFAULT","TRUX-N-PARTS***ACCT CLOSED****","LOT 2 MOUNTAIN VIEW RD","PO BOX 51 GRP 200 RR 2","","WINNIPEG","MB","R3C 2E6","CAN","204-633-2211","0","0"
"32247","5","DEFAULT","CUMBERLAND PAV & CONT AMHERST","8 MOORE ROAD","","","DARTMOUTH","NS","B3B 1J2","CAN","902-832-9062","3500","3500"
"32248","9","DEFAULT","P A YEOMAN****ACCT CLOSED****","PO BOX 22053","","","HALIFAX","NS","B3L 4T7","CAN","902-425-2225","0","0"
"32295","9","DEFAULT","DULEPKA EQUIP***ACCT CLOSED***","5564 DONCASTER ROAD","","","GLOUCESTER","ON","K1G 3N4","CAN","613-822-0123","0","0"
"32434","9","DEFAULT","CROWN LIFT TRUCKS","21 TALLGRASS COURT","","","BRANTFORD","ON","N3V 0A2","CAN","519-451-1144","0","0"
"32529","9","DEFAULT","GREYHOUND WPG***ACCT CLOSED***","ACCOUNTS PAYABLE","PO BOX 660362","","DALLAS","TX","75266","USA","403-260-4664","0","0"
"32534","A","DEFAULT","DURON ATLANTIC LTD","30 THORNE AVE","","","DARTMOUTH","NS","B3B 1Y5","CAN","902-468-6671","5000","3663"
"32542","9","DEFAULT","C & R AUTO SUPPLY EX","2513 AGRICOLA ST","","","HALIFAX","NS","B3K 4C3","CAN","902-423-7127","0","0"
"32609","9","DEFAULT","SOJOURN ENTERPRISES LTD","130 THORNE AVENUE","","","DARTMOUTH","NS","B3B 1Z2","CAN","902-468-6892","0","0"
"32688","A","DEFAULT","101036793 SK LTD","PO BOX 186","","","RICHMOUND","SK","S0N 2E0","CAN","306-669-4427","1000","1000"
"32737","A","DEFAULT","AMBLER & CO INC","5804 DATSUN RD","","","MISSISSAUGA","ON","L4W 1H2","CAN","905-677-4574","2000","1685"
"32793","9","DEFAULT","OAKVIEW RM OF","BOX 179","","","OAK RIVER","MB","R0K 1T0","CAN","204-826-2679","0","0"
"32817","9","DEFAULT","ABINORD LTEE","585 2E RUE EST","","","LA SARRE","QC","J9Z 2J6","CAN","819-333-2321","0","0"
"33140","A","DEFAULT","GM MACDONALD WELDING","PO BOX 249","","","WHYCOCOMAGH","NS","B0E 3M0","CAN","902-756-2575","1000","1000"
"33365","A","DEFAULT","MCLEODS BY PRODUCTS","4559 LARKIN CROSS RD","","","SPALLUMCHEEN","BC","V4Y 0P3","CAN","250-838-7007","3500","3500"
"33532","5","DEFAULT","STEELE BRIDGE FARMS","PO BOX 649","","","GLADSTONE","MB","R0J 0T0","CAN","204-871-5932","2000","1781"
"33620","9","DEFAULT","EQUISTAY FARM/BC ENTERPRISES","68L7C1 WILLIAMSON TWP","","","VAL RITA","ON","P0L 2G0","CAN","705-335-2441","0","0"
"33735","9","DEFAULT","SCHNELL INDUSTRIES INC EX","PO BOX 180 215 RAILWAY AVE","","","PLUM COULEE","MB","R0G 1R0","CAN","204-829-3080","0","0"
"33805","9","DEFAULT","TURNER VALLEY GOLF & COUNTRY C","PO BOX 60","","","TURNER VALLEY","AB","T0L 2A0","CAN","403-933-4721","0","0"
"33824","9","DEFAULT","BRIDGEWATER TOWN OF","60 PLEASANT ST","","","BRIDGEWATER","NS","B4V 3X9","CAN","902-543-4651","0","0"
"33945","A","DEFAULT","ABERFOYLE METAL TREATERS","18 KERR CRES","","","PUSLINCH","ON","N0B 2J0","CAN","519-763-1120","5000","5000"
"33967","A","DEFAULT","MILL CREEK MACHINE & WELD","356133 BLUE MT/EUPHRASIA TOWNLINE, RR #1","","","CLARKSBURG","ON","N0H 1J0","CAN","519-599-3959","3000","2944"
"33968","9","DEFAULT","ALPINE GROUP**ACCT CLOSED**","1045 DUNFORD AVE","","","VICTORIA","BC","V9B 6B2","CAN","250-474-5145","0","0"
"34010","5","DEFAULT","FORBES BROS. LTD","200,1290-91 STREET SW","","","EDMONTON","AB","T6X 0P2","CAN","780-960-1950","2000","1107"
"34041","9","DEFAULT","PAUL BRUNET","32 TRAILER PARK","","","WHITE RIVER","ON","P0M 3G0","CAN","807-822-2082","0","0"
"34071","A","DEFAULT","NOORDERMEER BROS INC","11154 LONGWOODS ROAD","","","DELAWARE","ON","N0L 1E0","CAN","519-652-5001","2000","1477"
"34074","9","DEFAULT","DGS ASTRO PAVING LTD","PO BOX 6820","","","FORT ST JOHN","BC","V1J 4J3","CAN","250-787-7283","0","0"
"34140","9","DEFAULT","WEYBURN COMPREHENSIVE SCHOOL B","80A 18TH ST","","","WEYBURN","SK","S4H 2W4","CAN","306-842-7494","0","0"
"34356","9","DEFAULT","ENERFLEX LEAS**ACCT CLOSED**","4700-47 ST SE","","","CALGARY","AB","T2B 3R1","CAN","403-720-3844","0","0"
"34456","9","DEFAULT","RITE WAY RENTALS & RAD","235 MANITOBA ROAD","","","WINKLER","MB","R6W 0J8","CAN","204-325-2201","0","0"
"34467","9","DEFAULT","ROBCO CABINETS LTD","33 27429 TWP RD 374","","","RED DEER COUNTY","AB","T4S 2H4","CAN","403-342-5325","0","0"
"34479","9","DEFAULT","VIPER CONSTRUCTION LTD","6 3000 MAIN ST","","","WEST ST PAUL","MB","R2V 4Z3","CAN","204-989-4711","0","0"
"34529","9","DEFAULT","NORAC SYSTEMS INT INC EX","3702 KINNEAR PLACE","","","SASKATOON","SK","S7P 0A6","CAN","306-664-6711","0","0"
"34546","9","DEFAULT","CP RAIL TRANS***ACCT CLOSED***","2195 PLESSIS RD","","","WINNIPEG","MB","R3W 1S3","CAN","204-222-4094","0","0"
"34618","9","DEFAULT","FLYNN ROOFING DARTMOUTH","25 NEPTUNE CRES","","","DARTMOUTH","NS","B2Y 4P9","CAN","902-468-8313","0","0"
"34643","A","DEFAULT","EECOL ELECTRIC SASK LTD EX","660 8TH STREET","","","BRANDON","MB","R7A 6Z7","CAN","204-728-7238","1500","1500"
"34644","9","DEFAULT","LRB FABRICATORS LTD","PO BOX 231","","","PORT WILLIAMS","NS","B0P 1T0","CAN","902-542-9519","0","0"
"35010","9","DEFAULT","LORETTE POWER PRODUCTS","PO BOX 75B RR 2","","","LORETTE","MB","R0A 0Y0","CAN","204-878-2282","0","0"
"35099","9","DEFAULT","INTEGRAL INC***ACCT CLOSED****","PO BOX 163","","","CLIVE","AB","T0C 0Y0","CAN","403-784-2407","0","0"
"35146","A","DEFAULT","LAKECITY WOODWORKERS","386 WINDMILL ROAD","","","DARTMOUTH","NS","B3A 1J5","CAN","902-465-5000","1000","803"
"35179","9","DEFAULT","DONALD EXCAVATING LIMITED","30 MCKENZIE LANE","","","MOUNT UNIACKE","NS","B0N 1Z0","CAN","902-440-3292","0","0"
"35287","9","DEFAULT","CAN CLEAN PRESSURE WASHERS","ROY TURK INDUSTRIAL SALES LTD","106 VULCAN ST","","TORONTO","ON","M9W 1L2","CAN","416-742-2777","0","0"
